uri,schema_url,schema_email,geo_long,schema_telephone,geo_lat,om_capacidadPersonas,rdfs_label,schema_address_postalCode,schema_address_addressCountry,schema_address_addressLocality,schema_address_streetAddress
http://opendata.caceres.es/recurso/turismo/establecimientos/CafeBar/0-adarve,,cafeadarve@gmail.com,-6.372416,+34 927244874,39.474155,30 pax,Adarve,10003,ES,Cáceres,"Calle Maestro Sánchez Garrido, 4 "
http://opendata.caceres.es/recurso/turismo/establecimientos/CafeBar/10-la-estancia,,,-6.376419,+34 927248064,39.471489,50 pax,La Estancia,10003,ES,Cáceres,"Plaza Mayor, 6 "
http://opendata.caceres.es/recurso/turismo/establecimientos/CafeBar/11-la-matilda-taberna-cb,,lamatildataberna@gmail.com,-6.3691,+34 667470603,39.475748,,La Matilda Taberna CB,10003,ES,Cáceres,"Plaza de Santiago, 9"
http://opendata.caceres.es/recurso/turismo/establecimientos/CafeBar/1-al-andalus,,,-6.379171,,39.46308,,Al-Andalus,10005,ES,Cáceres,"Avenida Isabel de Moctezuma, 22"
http://opendata.caceres.es/recurso/turismo/establecimientos/CafeBar/12-la-minerva,http://www.laminerva.es,laminervatapas@gmail.com,-6.371343,685118939-618378721,39.475454,70 pax,La Minerva,10003,ES,Cáceres,"Plaza Mayor, 24"
http://opendata.caceres.es/recurso/turismo/establecimientos/CafeBar/13-la-terraza-del-principe,,laterrazadelprincipe@gmail.com,-6.382489,+34 927288067,39.474659,,La Terraza del Príncipe,10001,ES,Cáceres,"Calle José Luis Cotallo, (dentro del parque)"
http://opendata.caceres.es/recurso/turismo/establecimientos/CafeBar/14-la-taperia,,lataperia2010@hotmail.com,-6.372593,927225147-657905853,39.474086,,La Tapería,10003,ES,Cáceres,"Calle Sanchez Garrido, 1 bajo"
http://opendata.caceres.es/recurso/turismo/establecimientos/CafeBar/17-lizarran,,jorgepastafiore@gmail.com,-6.373535,+34 927042877,39.474077,40 pax,Lizarrán,10003,ES,Cáceres,"Calle Moret, 34 "
http://opendata.caceres.es/recurso/turismo/establecimientos/CafeBar/15-leoncio,,,-6.37638,927 210 904,39.467604,,Leoncio,10002,ES,Cáceres,"Calle Antonio Reyes Huertas, 28"
http://opendata.caceres.es/recurso/turismo/establecimientos/CafeBar/16-lizarran,,,-6.388819,9.27042877E8,39.46797,,Lizarrán,10005,ES,Cáceres,"Londres, 1 (Centro comercial Ruta de la Plata)"
http://opendata.caceres.es/recurso/turismo/establecimientos/CafeBar/19-los-andares,,jorge.jimenezduran8@gmail.com,-6.380416,+34 927043627,39.469885,40 pax,Los Andares,10001,ES,Cáceres,"Santa Joaquina de Vedruna, 17 bajo"
http://opendata.caceres.es/recurso/turismo/establecimientos/CafeBar/18-lo-nuestro,,lonuestro@gmail.com,-6.370667,+34 651652997,39.475997,,Lo Nuestro,10003,ES,Cáceres,"Calle del Duque, 10"
http://opendata.caceres.es/recurso/turismo/establecimientos/CafeBar/2-al-andalus,,,-6.375656,,39.472212,,Al-Andalus,10002,ES,Cáceres,"Calle Santa Apolonia, 7"
http://opendata.caceres.es/recurso/turismo/establecimientos/CafeBar/23-mario-&-marieta,http://www.marioymarieta.com,marioymarieta@gmail.com,-6.379294,927242151-610950022,39.46944,43 pax,Mario & Marieta,10001,ES,Cáceres,"Avenida de España, 22"
http://opendata.caceres.es/recurso/turismo/establecimientos/CafeBar/22-mandia,,,-6.390876,+34 927292780,39.472919,50 pax,Mandía,10006,ES,Cáceres,"Calle Isla de Rodas, 2. Edificio Alcazaba"
http://opendata.caceres.es/recurso/turismo/establecimientos/CafeBar/20-los-baldios,,qiqecc@hotmail.com,-6.380148,+34 927043338,39.47307,,Los Baldíos,10001,ES,Cáceres,"Doctor Fleming, 4"
http://opendata.caceres.es/recurso/turismo/establecimientos/CafeBar/21-los-siete-jardines,,,-6.369486,927 21 73 36,39.47347,,Los Siete Jardines,10003,ES,Cáceres,"Rincón de la Monja, 9"
http://opendata.caceres.es/recurso/turismo/establecimientos/CafeBar/24-mastropiero,,contacto@mastropiero@gastrobar.es,-6.372386,+34 927214837,39.471576,,Mastropiero,10003,ES,Cáceres,"Fuentenueva, 4"
