"uri","geo_long","geo_lat","clase","rdfs_label","tieneEnlaceSIG"
"http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/1-palacio-de-la-isla",-6.37285,39.4752,"PALACIO ","de La Isla","http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=1176 "
"http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/10-ermita-de-la-paz",-6.37102,39.4751,"ERMITA ","de la Paz","http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=1160 "
"http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/11-torre-de-bujaco",-6.37097,39.4752,"TORRE ","de Bujaco","http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=1196 "
"http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/12-arco-de-la-estrella",-6.37101,39.4749,"ARCO ","de la Estrella","http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=1221 "
"http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/13-palacio-de-toledo-moctezuma",-6.37041,39.4754,"PALACIO ","de Toledo Moctezuma","http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=1173 "
"http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/14-iglesia-santo-domingo",-6.37204,39.4764,"IGLESIA ","Santo Domingo","http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=1167 "
"http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/15-palacio-de-los-duques-de-abrantes",-6.37084,39.4761,"PALACIO ","de los Duques de Abrantes","http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=1177 "
"http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/16-palacio-de-galarza",-6.37228,39.4761,"PALACIO ","de Galarza","http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=1174 "
"http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/18-torre-del-rey",-6.36982,39.4755,"TORRE ","del Rey","http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=1179 "
"http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/19-palacio-de-godoy",-6.36977,39.476,"PALACIO ","de Godoy","http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=1178 "
"http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/2-torre-de-los-pulpitos",-6.37108,39.4748,"TORRE ","de los Pulpitos","http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=1220 "
